woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Abargelie,evi,1,0.12439698674760181,0.008435895291889596,18,0.14315672115499017,0.12850800661328923,0.12159855127671396,0.11930808319471652,0.10918865542421594
Abargelie,evi,2,0.1226978878812881,0.00836738607774503,17,0.14169182467835292,0.1274478840818379,0.11900434188328797,0.11754357701796848,0.10867601234260227
Abargelie,evi,3,0.12103738693435094,0.008009270897804531,17,0.13881900739783687,0.1258267813030076,0.1174282264968376,0.1164541012575102,0.10723905301012765
Abargelie,evi,4,0.11932404053998881,0.007871422629091912,17,0.1361583662692727,0.1247316997434687,0.1158730913616571,0.11452343991667803,0.10583258650878416
Abargelie,evi,5,0.11769307263641947,0.007653730514006921,17,0.13389076804689515,0.12321810828635603,0.11464260996741675,0.1137258185868073,0.10477439044536359
Abargelie,evi,6,0.116745177451444,0.0073909845708402715,17,0.13288101032915053,0.12140008721758246,0.11329010057152471,0.11304346513498084,0.10374962599229265
Abargelie,evi,7,0.11581871573715392,0.0072336331033983885,17,0.13208599706243318,0.12010539650644646,0.11299520238657731,0.11158298859551395,0.10323572689668803
Abargelie,evi,8,0.11483163384219404,0.007060058887731041,17,0.13078433137852702,0.1192668053172862,0.11295530439850934,0.11102654212736877,0.10222813377964722
Abargelie,evi,9,0.11447133683833063,0.006913679543197988,17,0.1305891917198053,0.1185116622671354,0.11176245103470321,0.1108161503962214,0.10125005574825388
Abargelie,evi,10,0.11440263791162174,0.0065643779447634104,17,0.12957010528942148,0.11839625411605385,0.11197387486817786,0.1106344097496835,0.10088729550905483
Abargelie,evi,11,0.11422945805549155,0.006088592968823254,17,0.1286374580798938,0.11751672844091238,0.11367792927085636,0.11131168267296443,0.10050299217474072
Abargelie,evi,12,0.11442533050755434,0.006963344606731461,17,0.13181163416324854,0.11796806482541239,0.11369883192363031,0.11110263692017579,0.09962619000873427
Abargelie,evi,13,0.11473921643623967,0.006631952645861432,17,0.13049015441584294,0.11949508278757093,0.11231074180738691,0.11136620732433207,0.0999296804331627
Abargelie,evi,14,0.11575278541732953,0.006747458543572076,17,0.13451065682456745,0.11873317641601715,0.11322930044542868,0.11201044279017011,0.10447708299927433
Abargelie,evi,15,0.11614376492604304,0.00806017073269239,17,0.1384022034829343,0.12070996508975186,0.1140532199015426,0.11140659367715876,0.10304776250452875
Abargelie,evi,16,0.11648472556375344,0.008584667866382307,17,0.1385520537520754,0.12066110666098406,0.11416308561086234,0.11131033201726494,0.1037312824546666
