woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Abargelie,evi,1,0.1242791989691743,0.008256143106607078,19,0.1432468518986998,0.12719521276454415,0.12122216341909846,0.11955513399737158,0.10918865542421594
Abargelie,evi,2,0.12238195844951376,0.008004077796163127,19,0.14169182467835292,0.12535423806349383,0.11900434188328797,0.11736842481906007,0.10867601234260227
Abargelie,evi,3,0.12061458685969273,0.007732510907890109,19,0.13881900739783687,0.12391589528840027,0.1174282264968376,0.11627173956482723,0.10723905301012765
Abargelie,evi,4,0.11888076980093673,0.007633231429285358,19,0.1361583662692727,0.12253640806641442,0.1158730913616571,0.11440769121310751,0.10583258650878416
Abargelie,evi,5,0.11723449751404744,0.007413927980735286,19,0.13389076804689515,0.12111745001482915,0.11464260996741675,0.11353939171968243,0.10477439044536359
Abargelie,evi,6,0.11618617982338934,0.00721914634131903,19,0.13288101032915053,0.1200145790318512,0.11329010057152471,0.11285166947262193,0.10374962599229265
Abargelie,evi,7,0.11526540931596053,0.007068116168657815,19,0.13208599706243318,0.11913406556823924,0.11299520238657731,0.11136600695635285,0.10323572689668803
Abargelie,evi,8,0.11443749291893725,0.006852258742377688,19,0.13078433137852702,0.1182969321190626,0.11295530439850934,0.1109772830278085,0.10222813377964722
Abargelie,evi,9,0.11407147056323401,0.006706985479777232,19,0.1305891917198053,0.11787800733209056,0.11176245103470321,0.11073364178578299,0.10125005574825388
Abargelie,evi,10,0.11389012068944876,0.006438255142481934,19,0.12957010528942148,0.11780600433147778,0.11197387486817786,0.11058389798533685,0.10088729550905483
Abargelie,evi,11,0.11369109871502793,0.006050130860341202,19,0.1286374580798938,0.1168704351444648,0.11219160094879514,0.11074890044595712,0.10050299217474072
Abargelie,evi,12,0.11434918821306836,0.0067631561131770625,18,0.13181163416324854,0.11777213302093345,0.11337680056521848,0.11111571002417985,0.09962619000873427
Abargelie,evi,13,0.11474209682136556,0.0064339507262664965,18,0.13049015441584294,0.11899727269527716,0.11284247221685006,0.11149451799335466,0.0999296804331627
Abargelie,evi,14,0.11571795199484558,0.0065476643305573245,18,0.13451065682456745,0.11850014673390231,0.1134975402807693,0.11214980897329549,0.10447708299927433
Abargelie,evi,15,0.11596117297385138,0.007857793512588019,18,0.1384022034829343,0.1198158249177867,0.1134551648440678,0.1116016548580497,0.10304776250452875
Abargelie,evi,16,0.11620902634194828,0.008410090006702267,18,0.1385520537520754,0.11947974022731721,0.11385186375298302,0.11136328390576383,0.1037312824546666
Abargelie,evi,17,0.11620664891516308,0.00823351999321116,18,0.13609036741638458,0.12171467488067694,0.11288820760444329,0.11077485927258167,0.10705088189993324
Abargelie,evi,18,0.11711298235347005,0.008346192270734935,18,0.13273112977754764,0.12108815778057831,0.11517010143723172,0.1099536382446767,0.1082236286841584
Abargelie,evi,19,0.11605796220888745,0.008184196197491155,18,0.1303619741793616,0.12230488588332716,0.11332713940829535,0.10831854258553564,0.10723405741373147
Abargelie,evi,20,0.11571218659090395,0.009605788143938308,18,0.1414208613074796,0.11904289457057125,0.11363794998710683,0.11065631010989707,0.1040844547621326
Abargelie,evi,21,0.1146555422021601,0.01152092450816771,18,0.15145584247358032,0.11867274276608508,0.11330813929032513,0.1073395240991207,0.10135001134816857
Abargelie,evi,22,0.11151628271100363,0.011405439947583697,18,0.14441183641836236,0.11726545834455272,0.11282738136058432,0.10190891592490142,0.09739998494361644
Abargelie,evi,23,0.10846081745910356,0.010723787259116832,18,0.14288445934600932,0.11241687866125658,0.10779510216624633,0.1025585752861463,0.09440315703188554
Abargelie,evi,24,0.10385182414725794,0.01183055156068584,18,0.1399261736605757,0.10726586219577774,0.10460194661087882,0.09576760642133965,0.08444301597793936
Abargelie,evi,25,0.10568138547165103,0.00848747929080666,18,0.12580134950481517,0.10846370157543866,0.1036389250080694,0.09880652617980545,0.0965998949960724
Abargelie,evi,26,0.10815286697091303,0.007885371322369751,18,0.12218329102898304,0.1134147307251892,0.10896389449467428,0.10476146201382722,0.09141673771462107
Abargelie,evi,27,0.11950850712964692,0.01929267235471697,18,0.16022183041848712,0.12292809505817616,0.11660040058118619,0.1090840766062248,0.08018638906922831
Abargelie,evi,28,0.13403365667587697,0.027575609205646927,18,0.18523006708405937,0.15390340812067876,0.12538440576846144,0.11758753246843548,0.08207286692966144
Abargelie,evi,29,0.14552168363318604,0.029048150399157043,18,0.214044189492607,0.15924207432366325,0.13673470195233534,0.12921854713651032,0.10621945014203822
Abargelie,evi,30,0.1656035668441801,0.0352154455020293,18,0.24061483705306944,0.1767981766997439,0.16254515284611823,0.14332413689834791,0.10734479301494002
Abargelie,evi,31,0.1735114938473844,0.04054935909515106,18,0.2495212804528696,0.18908355327784881,0.1765324130639137,0.15504357868543475,0.10116908268769928
Abargelie,evi,32,0.20043780076431977,0.051555422513929354,18,0.28317694978266156,0.242758196944789,0.19654457087726157,0.17411077101352704,0.09338364250849937
Abargelie,evi,33,0.22969838777815255,0.037290124592849104,18,0.2834301024346744,0.2507968099735371,0.2352427486702337,0.2037748384092893,0.16399799218105246
Abargelie,evi,34,0.24940539112234406,0.024725187790376107,18,0.29179869860058016,0.2678915126586653,0.2472209428892365,0.2372637979210201,0.20006363063011554
Abargelie,evi,35,0.2629950601290576,0.022996105363361805,18,0.30150672115721777,0.2798352725897399,0.26496856727813356,0.24214569703178662,0.228116596952174
