environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
tmpac,Abargelie,121,2,9.86530082535957,18.1886444767186,15,53.5743713201384,9.68316734051281,0.363849504086948,0,0,tmpac
totprec,Abargelie,121,2,7.0341654141248,14.5266867297235,15,53.5743713201384,6.7954616007384,0.363849504086948,0,0,pmmc
lst_day,Abargelie,121,2,34.9248660546785,0.91932802384251,15,36.4601513631756,35.4981945842375,35.0312852149886,34.2045686286563,33.5101127486276,lstd
lst_mean,Abargelie,121,2,27.5126883032933,0.512498472501341,15,28.3014575674408,27.9253325881401,27.4320953500925,27.233739196771,26.4109140206581,lstm
lst_night,Abargelie,121,2,20.1005105475613,0.526782218154407,15,21.1944081033365,20.4727776903662,20.1749154733832,19.6682216769007,19.3117152461492,lstn
ndvi,Abargelie,121,2,0.216910006283341,0.0140400031476044,15,0.249739490522211,0.227528683941754,0.211127294114111,0.205794870774863,0.202912078890965,ndvi
savi,Abargelie,121,2,0.14045260514033,0.00837026844090845,15,0.15917562246401,0.148155423242738,0.136495189623493,0.13443603157767,0.132711558313246,savi
evi,Abargelie,121,2,0.12402337332073,0.00793464990966642,15,0.141798750985616,0.131222936382859,0.120520212839574,0.118393120044814,0.116747826987851,evi
ndwi5,Abargelie,121,2,-0.0935761058753041,0.00466469812128645,15,-0.0884036294152585,-0.0902340060910999,-0.0922210624351717,-0.096901596538617,-0.10614748536696,ndwi5
ndwi6,Abargelie,121,2,-0.0789223000148697,0.0108508985718681,15,-0.0599077919260172,-0.0720410153997606,-0.0778587074559126,-0.0861126525966133,-0.102701676167035,ndwi6
tmpart,Abargelie,121,3,6.45333904843404,10.1893564324189,15,34.7148542549304,5.03563266791831,2.09326669431573,1.09378234081947,0.13633222277888,tmpart
tmpac,Abargelie,121,3,5.59559837719385,11.1584133295058,15,40.5692924027344,4.8236716953189704,0.19158746770141,0,0,tmpac
totprec,Abargelie,121,3,6.11327855251337,11.067094280821,15,40.5692924027344,7.44504684306774,0.198422049306987,0,0,pmmc
lst_day,Abargelie,121,3,35.3478034022798,1.1540422040198,15,37.3039185517382,35.8469450214337,35.5193766942441,34.7534229833352,33.0571251055299,lstd
lst_mean,Abargelie,121,3,27.8845795317203,0.633254591315658,15,29.1851336749054,28.1526491027232,27.9181116063884,27.6854101541109,26.4662683039668,lstm
lst_night,Abargelie,121,3,20.4213556674225,0.501026327714138,15,21.2399323456989,20.6262919453407,20.5539233468354,20.0066382088331,19.5005701283629,lstn
ndvi,Abargelie,121,3,0.213964953349623,0.0139932215917661,15,0.24257395596349,0.226891928273577,0.206896436793022,0.203204058802961,0.199902074344656,ndvi
savi,Abargelie,121,3,0.138681713538572,0.00803463538921511,15,0.15617121250794,0.146108573773994,0.134790331999644,0.132815991110046,0.130819373867105,savi
evi,Abargelie,121,3,0.122300401810218,0.00753790484102838,15,0.138875135208123,0.129407528819878,0.118863765730079,0.116844956668195,0.115086435515095,evi
ndwi5,Abargelie,121,3,-0.0944392732561623,0.00442329764124083,15,-0.0891527312221714,-0.0906497055686224,-0.0936715094485314,-0.0963065676582434,-0.105669176000956,ndwi5
ndwi6,Abargelie,121,3,-0.0821510479462986,0.00984508424398102,15,-0.0659618339372733,-0.0759327936696469,-0.0799727008204122,-0.0891168138300405,-0.103226588192062,ndwi6
tmpart,Abargelie,121,4,0.713477175743424,0.819969068380893,15,3.24336961798463,0.895864076961817,0.572166395961498,0.144939505937803,0.021276572101683,tmpart
tmpac,Abargelie,121,4,4.61061311967435,8.99127311244725,15,28.0855804999979,1.90272847534954,0.205390109275375,0.00121595030929221,0,tmpac
totprec,Abargelie,121,4,5.24266529790729,8.99271473923988,15,28.0855804999979,8.40613197256496,0.276899047964523,0.00121595030929221,0,pmmc
