wid,woreda,doy,year,ndvi,savi,evi,ndwi5,ndwi6
74,Kewet,1.0,2012.0,0.3373830175005644,0.1971289581675483,0.18751116806783555,-0.049506967861533316,0.009345761648060868
133,Jilie Timuga,1.0,2012.0,0.2806419816019303,0.16548689308273679,0.15390107680694545,-0.0735031609882437,-0.05191962923344756
70,Efratana Gidim,1.0,2012.0,0.38233221315946475,0.22310416672842165,0.21250553022499735,-0.05286043549855373,0.015028875062313261
134,Artuma Fursi,1.0,2012.0,0.3503181456239085,0.20514840237956197,0.1944240062660254,-0.05793815453002008,0.0013995383217955473
131,Dewa Chefa,1.0,2012.0,0.3931521628979755,0.2389285930353531,0.22924927635872688,-0.058262994834660145,0.0211542568215599
135,Dewa Harewa,1.0,2012.0,0.3062126527949629,0.1796156068146442,0.16781827165673363,-0.06045532467445255,-0.018889868111563703
132,Bati,1.0,2012.0,0.3445407357502685,0.20440280208709768,0.19476512390507664,-0.019690417863392498,0.05645708006319055
138,Aregoba Sp. Wo.,1.0,2012.0,0.3161558101119154,0.1934925580954231,0.18248201631595648,-0.056762923151286226,-0.004611788850185789
49,Kalu,1.0,2012.0,0.3539865894954675,0.20875348625929122,0.1986070768517233,-0.03874416763822125,0.040185140728240434
48,Worebabu,1.0,2012.0,0.4193521239303095,0.24597130687154234,0.23803076395882508,-0.0074007580727335565,0.09554457161804523
121,Abargelie,1.0,2012.0,0.21276907466090927,0.13853013125403332,0.12211891979439403,-0.09280616863113501,-0.07609666116099673
33,Raya Kobo,1.0,2012.0,0.3779545264411209,0.21339859785461954,0.20415337152464125,-0.016519577767348616,0.07450903075164315
39,Habru,1.0,2012.0,0.42732018925042126,0.2414517214811646,0.23173162687280346,-0.010437001751765231,0.09629687192199997
38,Guba Lafto,1.0,2012.0,0.35721244152735576,0.1940617395074154,0.18296514653866683,-0.047418482520308176,0.022039843826810956
34,Gidan,1.0,2012.0,0.2799496522332433,0.14906865050126078,0.13858118522937135,-0.05679656347321588,-0.00985702584318599
40,Woldia Town,1.0,2012.0,0.37927822637608255,0.2019192085805942,0.19053309912262184,-0.032969673462601164,0.056525176520976834
46,Ambassel,1.0,2012.0,0.35197569736522777,0.19007163450551756,0.17807482141479222,-0.02931403193705048,0.05660085484194984
37,Delanta,1.0,2012.0,0.26434447290327395,0.1547902841326601,0.14394655003957818,-0.06749010036215719,-0.025937692543128447
140,Kobo Town,1.0,2012.0,0.28634586101777987,0.15738090648370662,0.14731468036846035,-0.03279638146934795,0.006991555964340759
41,Lasta,1.0,2012.0,0.2527296112434704,0.138753526951684,0.12723004005733146,-0.05308409230844969,-0.00634367366919809
120,Gazgibla,1.0,2012.0,0.28848214559922675,0.15926271385107085,0.14609050181839472,-0.04498613405926518,0.020740935309234057
35,Mekit,1.0,2012.0,0.268893703366413,0.15975945450726195,0.14548624095726556,-0.05859567546560772,-0.010151699361897984
36,Wadla,1.0,2012.0,0.2812037000683795,0.1726022201572494,0.15768516772287922,-0.07464973775702251,-0.03334767315334923
32,Bugna,1.0,2012.0,0.26164624902883454,0.15353419182561318,0.13809316304546154,-0.06822182276403431,-0.027938891321180416
119,Dehena,1.0,2012.0,0.25918499645377596,0.15494018568388973,0.13912850712587682,-0.062067503648284804,-0.017617323259472722
117,Zequala,1.0,2012.0,0.1936159739504088,0.11374303984323818,0.10169587839754646,-0.05416482196819791,-0.028135935254155416
118,Seqota,1.0,2012.0,0.24588708400965853,0.150029895958708,0.13449170539973224,-0.06460322021981332,-0.022702728433699956
123,Sekota Town,1.0,2012.0,0.22265204016665496,0.13638278110265448,0.1221671788943975,-0.05094515624823341,-0.012697283817334919
122,Sehela,1.0,2012.0,0.18706087283987757,0.1055117965976153,0.09550182402335104,-0.030998711764886132,-0.00522655786323676
1,Beyeda,1.0,2012.0,0.2691013820610521,0.1500170111737918,0.1365366514291802,-0.0784950091999626,-0.038264735982808815
2,Janamora,1.0,2012.0,0.2559781221351147,0.14823706632001543,0.13455688654411346,-0.07112242751571947,-0.03157570475199488
16,Misrak Belesa,1.0,2012.0,0.203822519749973,0.12055808012847385,0.10812870209362664,-0.06319556803559122,-0.04111404402036053
21,Ebinat,1.0,2012.0,0.24929036050683515,0.1471599562715386,0.1325403647521989,-0.05374304944380886,-0.009616039355936556
8,Wogera,1.0,2012.0,0.27977579189555396,0.16797617541441612,0.15389573304055437,-0.06407676976645377,-0.016097183061931523
15,Mirab Belesa,1.0,2012.0,0.21663836658019944,0.12483194919350273,0.1130480041783129,-0.045049163363398516,-0.004860315928699765
