wid,woreda,doy,year,lst_day,lst_night,lst_mean
74,Kewet,1.0,2012.0,36.32220514595028,14.58399688573624,25.45310101584324
133,Jilie Timuga,1.0,2012.0,38.19518627025019,15.99057103842098,27.092878654335575
70,Efratana Gidim,1.0,2012.0,33.6234300627234,12.071849374990757,22.84763971885707
134,Artuma Fursi,1.0,2012.0,35.471129336591346,15.575579445962752,25.523354391277074
131,Dewa Chefa,1.0,2012.0,33.68365128144981,12.398428713858461,23.041039997654106
135,Dewa Harewa,1.0,2012.0,36.53659270869383,15.50082581879623,26.018709263745016
132,Bati,1.0,2012.0,35.132988297796864,16.530154791760207,25.83157154477857
138,Aregoba Sp. Wo.,1.0,2012.0,35.330751030224114,15.52681551160493,25.428783270914536
49,Kalu,1.0,2012.0,34.159640820212566,12.645473652065382,23.402557236138968
48,Worebabu,1.0,2012.0,32.36837356739656,15.169490570475576,23.76893206893605
121,Abargelie,1.0,2012.0,35.33728348807933,19.743340537149795,27.540312012614585
33,Raya Kobo,1.0,2012.0,33.24793956767529,13.794159035647919,23.521049301661595
39,Habru,1.0,2012.0,32.87182196247313,14.582874192556176,23.72734807751467
38,Guba Lafto,1.0,2012.0,30.772109012668363,8.489761034472572,19.63093502357047
34,Gidan,1.0,2012.0,30.867557839987978,7.357053140434372,19.112305490211185
40,Woldia Town,1.0,2012.0,33.57524131927655,12.083314633910456,22.82927797659351
46,Ambassel,1.0,2012.0,29.757600804968277,10.617159890074248,20.187380347521284
37,Delanta,1.0,2012.0,32.934285698815664,9.132789270592353,21.03353748470401
140,Kobo Town,1.0,2012.0,38.63382409177824,13.37456341618868,26.004193753983454
41,Lasta,1.0,2012.0,35.11462335362926,11.855394216668827,23.485008785149027
120,Gazgibla,1.0,2012.0,32.38587779428212,11.746115163851803,22.065996479066953
35,Mekit,1.0,2012.0,34.40709133319226,12.272500189719954,23.339795761456116
36,Wadla,1.0,2012.0,33.48341209315606,7.651993256803436,20.567702674979756
32,Bugna,1.0,2012.0,35.90201117481696,15.935902313865133,25.918956744341028
119,Dehena,1.0,2012.0,35.82843453178789,16.140522787303844,25.98447865954591
117,Zequala,1.0,2012.0,37.17298080286914,19.517917402831724,28.345449102850463
118,Seqota,1.0,2012.0,35.30940345071045,15.856084635071952,25.58274404289122
123,Sekota Town,1.0,2012.0,34.76502020163879,13.877573160140491,24.32129668088964
122,Sehela,1.0,2012.0,37.741126728317,20.10270833540719,28.921917531862075
1,Beyeda,1.0,2012.0,31.0189332761712,8.838966248343619,19.92894976225743
2,Janamora,1.0,2012.0,34.30433242864067,11.729876577202642,23.017104502921683
16,Misrak Belesa,1.0,2012.0,39.14802141909192,17.412992870590426,28.280507144841234
21,Ebinat,1.0,2012.0,36.023568562216745,15.225077288540305,25.624322925378504
8,Wogera,1.0,2012.0,35.21911624470187,13.705378454654626,24.462247349678243
15,Mirab Belesa,1.0,2012.0,39.09753325246475,14.93680113861528,27.017167195539965
3,Debark,1.0,2012.0,33.99281633680979,14.445787281880339,24.219301809345044
4,Dabat,1.0,2012.0,35.15140257880124,14.462923547146442,24.807163062973803
19,Tach Armachiho,1.0,2012.0,36.79369446321086,18.434220109160368,27.613957286185656
6,Tegede,1.0,2012.0,37.555124442926896,18.8609360880824,28.208030265504643
7,Lay Armachiho,1.0,2012.0,33.90692937299416,15.425850259547293,24.66638981627076
17,Gondar Town,1.0,2012.0,35.79952895913489,13.66702947904755,24.73327921909121
9,Gondar Zuria,1.0,2012.0,34.50183373848073,12.867580857813875,23.68470729814733
22,Libokemkem,1.0,2012.0,34.37665734041823,11.917464531032046,23.147060935725126
10,Denbia,1.0,2012.0,34.67059366258438,13.470036317905091,24.070314990244714
23,Fogera,1.0,2012.0,34.99924113942294,11.994109345627725,23.49667524252527
24,Farta,1.0,2012.0,32.57284197781839,10.204448079318148,21.388645028568263
25,Lay Gayint,1.0,2012.0,32.99978795436559,11.87298872161627,22.43638833799093
26,Tach Gayint,1.0,2012.0,36.75340469399367,15.515753170086825,26.134578932040213
27,Simada,1.0,2012.0,36.088057347377664,15.761797685147377,25.924927516262496
43,Mekedela,1.0,2012.0,33.51152700691785,12.921740793008905,23.216633899963384
53,Sayint,1.0,2012.0,32.39317307999186,13.398279625945523,22.895726352968754
28,Estea,1.0,2012.0,33.85395877960796,11.710802595150904,22.782380687379412
31,Andabiet,1.0,2012.0,35.64688122572821,13.92421922113223,24.785550223430217
30,Debre Tabor Town,1.0,2012.0,31.988913971094323,9.514681348933271,20.751797660013796
29,Dera,1.0,2012.0,35.56576394640381,12.732918817480106,24.149341381941976
104,Bahir Dar Zuria,1.0,2012.0,34.117859763856835,12.334879904548018,23.22636983420245
137,Bahir Dar Town,1.0,2012.0,33.86439931319423,12.215706569369218,23.04005294128173
105,Yilmana Densa,1.0,2012.0,33.2420792536563,11.247013222690626,22.244546238173424
87,Hulet Iju Enesie,1.0,2012.0,31.78891310402626,10.612352811911524,21.200632957968885
114,Gonji Kolela,1.0,2012.0,36.09329942807497,13.725637442988496,24.909468435531807
109,Dega Damot,1.0,2012.0,30.06045496391228,9.765642583591134,19.913048773751687
106,Mecha,1.0,2012.0,34.44298425672223,10.321673761719769,22.382329009221017
108,Quarit,1.0,2012.0,32.28995672259316,10.807587252836568,21.548771987714833
107,Sekela,1.0,2012.0,32.435882259205,10.013943151373931,21.22491270528947
111,Jabi Tehnan,1.0,2012.0,34.48135238459945,12.093150383737846,23.287251384168666
86,Bibugn,1.0,2012.0,28.475651653205414,7.800519387197866,18.138085520201614
