wid,woreda,doy,year,totprec
74,Kewet,1.0,2018.0,0.0
133,Jilie Timuga,1.0,2018.0,0.0
70,Efratana Gidim,1.0,2018.0,0.0
134,Artuma Fursi,1.0,2018.0,0.0
131,Dewa Chefa,1.0,2018.0,0.0
135,Dewa Harewa,1.0,2018.0,0.0
132,Bati,1.0,2018.0,0.0
138,Aregoba Sp. Wo.,1.0,2018.0,0.0
49,Kalu,1.0,2018.0,0.0
48,Worebabu,1.0,2018.0,0.0
121,Abargelie,1.0,2018.0,0.010822454861549405
33,Raya Kobo,1.0,2018.0,0.0
39,Habru,1.0,2018.0,0.0
38,Guba Lafto,1.0,2018.0,0.0
34,Gidan,1.0,2018.0,0.0
40,Woldia Town,1.0,2018.0,0.0
46,Ambassel,1.0,2018.0,0.0
37,Delanta,1.0,2018.0,0.0
140,Kobo Town,1.0,2018.0,0.0
41,Lasta,1.0,2018.0,0.0
120,Gazgibla,1.0,2018.0,0.0
35,Mekit,1.0,2018.0,0.0
36,Wadla,1.0,2018.0,0.0
32,Bugna,1.0,2018.0,0.0
119,Dehena,1.0,2018.0,0.0
117,Zequala,1.0,2018.0,0.0
118,Seqota,1.0,2018.0,0.0
123,Sekota Town,1.0,2018.0,0.0
122,Sehela,1.0,2018.0,0.09783731034831906
1,Beyeda,1.0,2018.0,0.2563761088295858
2,Janamora,1.0,2018.0,0.050961077925466856
16,Misrak Belesa,1.0,2018.0,0.0
21,Ebinat,1.0,2018.0,0.025813897770778943
8,Wogera,1.0,2018.0,0.0
15,Mirab Belesa,1.0,2018.0,0.0
3,Debark,1.0,2018.0,3.884634112582091E-6
4,Dabat,1.0,2018.0,0.0
19,Tach Armachiho,1.0,2018.0,0.0
6,Tegede,1.0,2018.0,0.007653965481058264
7,Lay Armachiho,1.0,2018.0,0.0
17,Gondar Town,1.0,2018.0,0.0
9,Gondar Zuria,1.0,2018.0,0.0
22,Libokemkem,1.0,2018.0,0.07699720518506373
10,Denbia,1.0,2018.0,0.0
23,Fogera,1.0,2018.0,0.0
24,Farta,1.0,2018.0,0.0
25,Lay Gayint,1.0,2018.0,0.0
26,Tach Gayint,1.0,2018.0,0.0
27,Simada,1.0,2018.0,0.0
43,Mekedela,1.0,2018.0,0.0
53,Sayint,1.0,2018.0,0.0
28,Estea,1.0,2018.0,0.0
31,Andabiet,1.0,2018.0,0.0
30,Debre Tabor Town,1.0,2018.0,0.0
29,Dera,1.0,2018.0,0.0
104,Bahir Dar Zuria,1.0,2018.0,0.0
137,Bahir Dar Town,1.0,2018.0,0.0
105,Yilmana Densa,1.0,2018.0,0.0
87,Hulet Iju Enesie,1.0,2018.0,0.017739420103755937
114,Gonji Kolela,1.0,2018.0,0.0
109,Dega Damot,1.0,2018.0,0.0
106,Mecha,1.0,2018.0,0.0
108,Quarit,1.0,2018.0,0.0
107,Sekela,1.0,2018.0,0.0
111,Jabi Tehnan,1.0,2018.0,0.0
86,Bibugn,1.0,2018.0,0.0
90,Enarji Enawuga,1.0,2018.0,0.0
88,Goncha Siso Enese,1.0,2018.0,0.0
89,Enebse Sar Mider,1.0,2018.0,0.0
61,Mehal Sayint,1.0,2018.0,0.0
54,Borena,1.0,2018.0,0.0
58,Wogedi,1.0,2018.0,0.0
52,Legambo,1.0,2018.0,0.0
55,Kelela,1.0,2018.0,0.0
62,Legehida,1.0,2018.0,0.0
56,Jamma,1.0,2018.0,0.0
44,Tenta,1.0,2018.0,0.0
51,Dessie Zuria,1.0,2018.0,0.0
42,Dawunt,1.0,2018.0,0.0
