wid,woreda,doy,year,ndvi,savi,evi,ndwi5,ndwi6
74,Kewet,358.0,2018.0,0.38415970921873854,0.22952955532701133,0.22109354293321015,-0.042542964218616135,0.042007760716931526
133,Jilie Timuga,358.0,2018.0,0.34606187403009636,0.2083365809096499,0.1972227725791181,-0.0653175728114643,-0.009955006017125916
70,Efratana Gidim,358.0,2018.0,0.4690686870777313,0.2831963572384234,0.27512025741404633,-0.03214169296057608,0.08717503179295426
134,Artuma Fursi,358.0,2018.0,0.43957288205033096,0.26524748310630286,0.25717608462653835,-0.04312058835535526,0.06491734245106434
131,Dewa Chefa,358.0,2018.0,0.5067570819873878,0.30962372296984747,0.3038154055777248,-0.038563516119595825,0.0982917326887164
135,Dewa Harewa,358.0,2018.0,0.3804295664119374,0.2292413992620386,0.21854788374214443,-0.050294455928770736,0.03348358918456364
132,Bati,358.0,2018.0,0.3817151886130159,0.23111420730516205,0.22248880309317537,-0.017880246156191573,0.08576183605180812
138,Aregoba Sp. Wo.,358.0,2018.0,0.4188076904253245,0.25986676958456745,0.2510393158633675,-0.037105348650899594,0.07027627593817613
49,Kalu,358.0,2018.0,0.44401317013638397,0.26297162288365256,0.25420870981785304,-0.03374806240810701,0.08639740148359419
48,Worebabu,358.0,2018.0,0.41393003790040267,0.24665089565781925,0.23916841735448294,-0.017147005116827405,0.09392665198967276
121,Abargelie,358.0,2018.0,0.22687141892872012,0.1424959772199921,0.126032198524081,-0.08760220116562979,-0.07299343252895818
33,Raya Kobo,358.0,2018.0,0.40164754108561074,0.23047881730109934,0.22078288706827326,-0.018725061043018496,0.08464025419980695
39,Habru,358.0,2018.0,0.426842393362884,0.24582388021269122,0.23650859137010727,-0.018724715900080617,0.09357555978332431
38,Guba Lafto,358.0,2018.0,0.4195901894436496,0.22925148105511092,0.21833827726639657,-0.0429074638219658,0.05209429810072995
34,Gidan,358.0,2018.0,0.36283629970116876,0.1922483044158159,0.18050533705258168,-0.04471873111482226,0.03321056670720814
40,Woldia Town,358.0,2018.0,0.4606429688426568,0.25221252539767613,0.240953875977121,-0.01592693464632066,0.11512710395852695
46,Ambassel,358.0,2018.0,0.3996901957792367,0.21467614197705043,0.20246854580811532,-0.0333275909474326,0.06314082708360544
37,Delanta,358.0,2018.0,0.33351192376109645,0.19175664117880617,0.18021644933506414,-0.05777283296798338,0.0035902913482106866
140,Kobo Town,358.0,2018.0,0.374341046577628,0.21081066763987044,0.19927286406100836,-0.009474012949277761,0.06383533827277478
