wid,woreda,doy,year,lst_day,lst_night,lst_mean
74,Kewet,1.0,2018.0,33.168629822783565,14.05784359475029,23.613236708766937
133,Jilie Timuga,1.0,2018.0,33.32090509589725,15.790097573086742,24.555501334491982
70,Efratana Gidim,1.0,2018.0,29.47359569388638,11.248574415397655,20.36108505464205
134,Artuma Fursi,1.0,2018.0,30.7355872383296,15.451459844264019,23.093523541296808
131,Dewa Chefa,1.0,2018.0,29.66288276347432,12.573845287666444,21.118364025570354
135,Dewa Harewa,1.0,2018.0,31.588304394732088,14.734591975899223,23.16144818531565
132,Bati,1.0,2018.0,31.36343036227218,16.19091254906862,23.777171455670388
138,Aregoba Sp. Wo.,1.0,2018.0,30.721796535440998,14.478376316745408,22.600086426093203
49,Kalu,1.0,2018.0,30.29373676316052,12.405661280616528,21.34969902188854
48,Worebabu,1.0,2018.0,29.272168790626132,14.631884835785186,21.952026813205663
121,Abargelie,1.0,2018.0,33.36122476336969,19.25366973580757,26.307447249588613
33,Raya Kobo,1.0,2018.0,30.920815981433623,13.081243878326156,22.0010299298799
39,Habru,1.0,2018.0,31.496330113811183,14.263203937250108,22.879767025530636
38,Guba Lafto,1.0,2018.0,29.587096835676338,8.15070622318418,18.86890152943025
34,Gidan,1.0,2018.0,29.472357361818467,6.946278037407699,18.20931769961309
40,Woldia Town,1.0,2018.0,29.43364832188802,12.02581390850182,20.729731115194912
46,Ambassel,1.0,2018.0,28.790825482007282,9.573729773007626,19.18227762750743
37,Delanta,1.0,2018.0,31.6832935787434,9.364009738911996,20.523651658827674
140,Kobo Town,1.0,2018.0,35.06855959209691,13.916551943913355,24.492555768005136
41,Lasta,1.0,2018.0,33.52121599978378,11.478163701115742,22.499689850449723
120,Gazgibla,1.0,2018.0,31.392734077863924,10.803189415195073,21.097961746529542
35,Mekit,1.0,2018.0,32.80810016415774,12.249298715096556,22.52869943962712
36,Wadla,1.0,2018.0,32.83276025081843,7.9456421646018285,20.389201207710144
32,Bugna,1.0,2018.0,33.911823447244004,16.011331100707814,24.96157727397593
119,Dehena,1.0,2018.0,33.79770858363838,16.208050202211716,25.002879392925
117,Zequala,1.0,2018.0,35.25861113983645,19.35256112828524,27.30558613406087
118,Seqota,1.0,2018.0,32.92676974671266,15.191589842026328,24.059179794369452
123,Sekota Town,1.0,2018.0,32.777803496582735,12.257475739153438,22.517639617868095
122,Sehela,1.0,2018.0,35.601129714609975,19.358202550294138,27.479666132452042
1,Beyeda,1.0,2018.0,28.57566489983641,7.941286616260078,18.25847575804821
2,Janamora,1.0,2018.0,32.22103034435135,11.107774368791183,21.66440235657126
16,Misrak Belesa,1.0,2018.0,36.71344610763036,17.94791644290815,27.3306812752693
21,Ebinat,1.0,2018.0,33.81790588184751,15.383031739479442,24.60046881066335
8,Wogera,1.0,2018.0,32.56195225828963,13.202021346250568,22.88198680227011
15,Mirab Belesa,1.0,2018.0,36.16237297210633,15.046781869277103,25.604577420691733
3,Debark,1.0,2018.0,31.128970472548296,13.571460353560969,22.35021541305464
4,Dabat,1.0,2018.0,32.1407114562586,13.75355801663148,22.947134736445005
19,Tach Armachiho,1.0,2018.0,33.00895526781283,17.15616551217616,25.08256038999439
6,Tegede,1.0,2018.0,33.651725069281525,17.42271180504166,25.53721843716162
7,Lay Armachiho,1.0,2018.0,30.184809485859557,13.805244290319587,21.995026888089566
17,Gondar Town,1.0,2018.0,32.21817094728092,12.293675782468569,22.255923364874725
9,Gondar Zuria,1.0,2018.0,31.5489207284414,12.152248980264567,21.850584854352956
22,Libokemkem,1.0,2018.0,31.776082289530486,12.418442872281268,22.09726258090587
10,Denbia,1.0,2018.0,31.278846230695116,13.395281845748828,22.33706403822196
23,Fogera,1.0,2018.0,32.41503567557183,13.701367540718214,23.058201608145023
24,Farta,1.0,2018.0,30.710189761220022,9.33910104524785,20.024645403233926
25,Lay Gayint,1.0,2018.0,31.433760179091948,11.411284493724807,21.422522336408345
26,Tach Gayint,1.0,2018.0,35.50850960849493,14.838609414799471,25.17355951164718
27,Simada,1.0,2018.0,34.69962514629438,15.593430227810911,25.14652768705266
43,Mekedela,1.0,2018.0,32.72287208947916,13.012873549381869,22.867872819430527
53,Sayint,1.0,2018.0,31.667205123567776,13.97808174728983,22.822643435428816
28,Estea,1.0,2018.0,32.00193445006849,11.138572107721156,21.570253278894864
31,Andabiet,1.0,2018.0,33.312694091722015,14.204063692945123,23.75837889233359
30,Debre Tabor Town,1.0,2018.0,30.14054163799039,8.750929112181717,19.44573537508605
29,Dera,1.0,2018.0,32.766776820007266,13.358217337453604,23.062497078730445
104,Bahir Dar Zuria,1.0,2018.0,31.729796291446167,12.974232693371064,22.35201449240862
137,Bahir Dar Town,1.0,2018.0,31.596003112088887,13.234741821824006,22.41537246695646
105,Yilmana Densa,1.0,2018.0,30.020981679603448,11.142984467669194,20.581983073636334
87,Hulet Iju Enesie,1.0,2018.0,29.578785521000277,11.156540182392925,20.367662851696565
114,Gonji Kolela,1.0,2018.0,32.47100521248106,13.512673568377625,22.99183939042934
109,Dega Damot,1.0,2018.0,27.707432703638272,9.943561367653581,18.825497035645906
106,Mecha,1.0,2018.0,30.600916319654047,10.474277052792397,20.537596686223246
108,Quarit,1.0,2018.0,29.792077061705296,10.974830443942478,20.383453752823893
107,Sekela,1.0,2018.0,28.95050633919948,9.217650960590424,19.08407864989492
111,Jabi Tehnan,1.0,2018.0,31.888715555342895,13.228143634419965,22.5584295948814
86,Bibugn,1.0,2018.0,25.80669991281274,7.891941115039366,16.849320513926056
90,Enarji Enawuga,1.0,2018.0,32.11986062274596,13.539524919274447,22.8296927710102
88,Goncha Siso Enese,1.0,2018.0,30.97640548921978,13.761706799649419,22.369056144434563
89,Enebse Sar Mider,1.0,2018.0,34.5287052105385,16.87207880739335,25.70039200896588
61,Mehal Sayint,1.0,2018.0,32.57284387126381,15.591450608827575,24.0821472400457
54,Borena,1.0,2018.0,32.56557922878723,14.420320296093342,23.492949762440247
58,Wogedi,1.0,2018.0,34.42137669769048,16.82659675973809,25.6239867287143
52,Legambo,1.0,2018.0,32.183613872832396,5.781345096181207,18.982479484506786
55,Kelela,1.0,2018.0,34.62954466537645,15.67545787831724,25.152501271846788
62,Legehida,1.0,2018.0,33.55074791309286,10.236943820386056,21.89384586673945
56,Jamma,1.0,2018.0,32.999181788380994,12.335770387907527,22.66747608814428
44,Tenta,1.0,2018.0,30.98646630701946,9.133104728131753,20.05978551757566
51,Dessie Zuria,1.0,2018.0,29.538350886635477,6.429618108647027,17.983984497641252
42,Dawunt,1.0,2018.0,34.348594482426385,15.34438497026293,24.846489726344675
45,Kuta Ber,1.0,2018.0,28.70472805700432,9.233718650020988,18.969223353512664
60,Dessie Town,1.0,2018.0,27.06222198727441,7.594982987639634,17.32860248745703
47,Tehulederie,1.0,2018.0,28.87553831661253,10.912432669210148,19.893985492911348
59,Kombolcha Town,1.0,2018.0,29.09384813496545,10.702242382151256,19.898045258558355
50,Alebuko,1.0,2018.0,29.160879715051312,8.169666115808592,18.665272915429952
57,Wore Illu,1.0,2018.0,32.15697990045851,8.777074790554439,20.467027345506438
68,Gishe Rabel,1.0,2018.0,31.38195783920097,9.203712950965445,20.29283539508322
67,Menz Gera Mider,1.0,2018.0,31.649436242350383,6.905657585243836,19.277546913797135
69,Antsokiya Gemza,1.0,2018.0,28.44044498415183,10.610771209813553,19.5256080969827
136,Kemisie Town,1.0,2018.0,30.8315730337079,13.367834525025568,22.099703779366735
71,Menz Mama Mider,1.0,2018.0,31.020055393981615,7.7861415348675616,19.40309846442459
84,Menz Lalo Mider,1.0,2018.0,31.10519180146696,9.715628654677019,20.410410228071957
139,Shewa Robit,1.0,2018.0,35.18559190031156,15.15697819314645,25.171285046729
72,Tarma Ber,1.0,2018.0,29.73806650133189,11.22139665514978,20.47973157824084
73,Mojana Wodera,1.0,2018.0,31.880506355025442,9.87411473162505,20.877310543325244
83,Menz Qeya Gebreal,1.0,2018.0,31.908540400875825,12.4879274706243,22.198233935750057
63,Mida Woremo,1.0,2018.0,34.52499819083696,17.126531994705385,25.825765092771146
64,Merehabete,1.0,2018.0,34.18628114672928,17.786732989687046,25.98650706820814
66,Moretina Jiru,1.0,2018.0,32.505634058286056,14.366946274693916,23.436290166489968
81,Basona Worena,1.0,2018.0,31.325343631257255,8.117909174090437,19.721626402673845
85,Seya Deberna Wayu,1.0,2018.0,32.83473865881898,9.340327789604046,21.087533224211516
65,Ensarona Wayo,1.0,2018.0,32.86761818386958,15.971898405700278,24.419758294784927
75,Angolelana Tera,1.0,2018.0,30.24079990967021,6.1399335290479415,18.190366719359137
76,Asagirt,1.0,2018.0,29.863425219220822,9.79144340187665,19.827434310548714
77,Ankober,1.0,2018.0,29.65396174925788,12.064601849737423,20.859281799497648
82,Debre Birehan Town,1.0,2018.0,31.38068099981604,5.285288459011248,18.332984729413646
79,Berehet,1.0,2018.0,32.694859241839744,16.12968855374273,24.412273897791245
80,Minjarina Shenkora,1.0,2018.0,33.56766900087664,13.64808278800485,23.60787589444072
78,Hagere Mariam Kesem,1.0,2018.0,29.131170505577312,9.69834865554556,19.41475958056145
96,Baso Liben,1.0,2018.0,32.45282870479934,17.383298966597053,24.918063835698185
93,Debre Elias,1.0,2018.0,32.131216779075494,16.15095101167956,24.14108389537756
95,Gozamin,1.0,2018.0,32.212402547978726,13.53456225398123,22.87348240098002
102,Aneded,1.0,2018.0,32.15415417341406,13.517899948654042,22.836027061034077
97,Awabel,1.0,2018.0,31.816737348344134,13.385601134835406,22.601169241589783
99,Shebel Berenta,1.0,2018.0,33.342578503162365,17.316366656573475,25.329472579867947
